Unnamed: 0,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight
4038,0.55,0.445,0.125,0.672,0.288,0.1365,0.21
1272,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14
3384,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045
3160,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035
3894,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215
1288,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18
3863,0.655,0.5,0.18,1.4155,0.508,0.314,0.445
554,0.485,0.39,0.125,0.591,0.287,0.141,0.12
1871,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24
1074,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875
2525,0.59,0.455,0.16,1.09,0.5,0.2215,0.292
4113,0.56,0.42,0.14,0.8370000000000001,0.414,0.214,0.2
1618,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765
3410,0.415,0.31,0.105,0.3595,0.1669999999999999,0.083,0.0915
3532,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775
3391,0.545,0.42,0.125,0.9745,0.353,0.174,0.305
3577,0.6,0.475,0.23,1.157,0.522,0.2235,0.36
1756,0.725,0.565,0.21,2.1425,1.03,0.487,0.503
1777,0.485,0.345,0.16,0.8690000000000001,0.3085,0.185,0.319
2256,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175
3016,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135
1805,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185
752,0.605,0.46,0.17,1.122,0.347,0.3045,0.315
2339,0.64,0.52,0.2,1.4069999999999998,0.5660000000000001,0.304,0.455
3181,0.5,0.385,0.135,0.551,0.2245,0.0715,0.206
1882,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214
1391,0.635,0.495,0.175,1.211,0.7070000000000001,0.2725,0.3229999999999999
3365,0.44,0.31,0.115,0.3625,0.134,0.0819999999999999,0.12
4107,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086
4042,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236
2952,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293
3673,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085
729,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165
2994,0.61,0.475,0.175,1.024,0.409,0.261,0.322
2768,0.56,0.435,0.135,0.72,0.3289999999999999,0.103,0.251
2828,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985
721,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293
2037,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285
3366,0.28,0.21,0.065,0.0905,0.035,0.02,0.03
1740,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965
2171,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01
2222,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53
3231,0.41,0.325,0.12,0.3745,0.158,0.081,0.125
1754,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511
346,0.525,0.42,0.16,0.7559999999999999,0.2745,0.173,0.275
3221,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1
3489,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183
1228,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
3706,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4
578,0.58,0.445,0.15,0.8865,0.3829999999999999,0.209,0.255
3494,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215
2973,0.735,0.59,0.205,2.087,0.909,0.474,0.625
2801,0.64,0.515,0.08,1.042,0.515,0.1755,0.175
1507,0.645,0.515,0.175,1.546,0.7035,0.365,0.415
2650,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.1669999999999999
2682,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305
2743,0.475,0.355,0.115,0.5195,0.2789999999999999,0.088,0.1325
1361,0.605,0.475,0.175,1.0759999999999998,0.4629999999999999,0.2195,0.335
178,0.225,0.16,0.045,0.0465,0.025,0.015,0.015
668,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335
3760,0.53,0.425,0.13,0.7020000000000001,0.2975,0.1395,0.22
787,0.495,0.385,0.135,0.7090000000000001,0.211,0.1375,0.262
1027,0.645,0.505,0.165,1.4325,0.684,0.308,0.336
818,0.35,0.25,0.07,0.18,0.0655,0.048,0.054
3553,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19
1515,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195
2227,0.275,0.2,0.075,0.086,0.0305,0.019,0.03
604,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235
3716,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465
25,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3
4047,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28
2554,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07
2970,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341
1130,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23
173,0.52,0.405,0.115,0.7759999999999999,0.32,0.1845,0.22
1336,0.575,0.46,0.155,0.892,0.4415,0.176,0.22
3253,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11
331,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095
2935,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745
430,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295
2025,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675
2153,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035
1138,0.575,0.435,0.14,0.8455,0.401,0.191,0.222
2512,0.465,0.375,0.11,0.5,0.21,0.113,0.1505
479,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455
727,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155
1684,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295
2024,0.545,0.44,0.14,0.8395,0.356,0.1905,0.2385
3861,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49
2769,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29
3736,0.625,0.48,0.18,1.223,0.565,0.2975,0.3375
3841,0.5,0.42,0.125,0.62,0.255,0.15,0.205
3712,0.705,0.53,0.17,1.564,0.612,0.3939999999999999,0.44
3987,0.655,0.545,0.185,1.759,0.6865,0.313,0.547
2348,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515
3550,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535
3862,0.475,0.37,0.125,0.655,0.266,0.1725,0.185
324,0.335,0.265,0.105,0.222,0.0935,0.0559999999999999,0.075
1437,0.4,0.29,0.11,0.3289999999999999,0.188,0.0455,0.0825
2715,0.335,0.25,0.08,0.1669999999999999,0.0675,0.0325,0.0575
468,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625
561,0.515,0.4,0.12,0.659,0.2705,0.179,0.17
1991,0.285,0.215,0.06,0.0935,0.031,0.023,0.03
2753,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615
1940,0.625,0.52,0.18,1.354,0.4845,0.351,0.375
2212,0.595,0.495,0.235,1.366,0.5065,0.2189999999999999,0.52
3768,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695
3306,0.41,0.3,0.115,0.2595,0.0969999999999999,0.0515,0.08
2962,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386
3310,0.62,0.485,0.165,1.166,0.483,0.238,0.355
61,0.505,0.405,0.11,0.625,0.305,0.16,0.175
2552,0.31,0.225,0.075,0.155,0.065,0.037,0.0365
2570,0.465,0.355,0.11,0.474,0.23,0.1005,0.12
2221,0.58,0.465,0.175,1.035,0.401,0.1865,0.385
254,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34
2865,0.315,0.235,0.075,0.1285,0.051,0.0279999999999999,0.0405
3586,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325
2096,0.5,0.39,0.145,0.6509999999999999,0.273,0.132,0.22
3555,0.535,0.415,0.135,0.78,0.3165,0.1689999999999999,0.2365
2018,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535
3597,0.685,0.53,0.17,1.56,0.647,0.3829999999999999,0.465
3527,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575
4079,0.55,0.385,0.13,0.7275,0.3429999999999999,0.1625,0.19
1543,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066
67,0.595,0.495,0.185,1.285,0.416,0.2239999999999999,0.485
1842,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11
1071,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065
221,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18
2978,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313
3776,0.585,0.42,0.155,0.9845,0.442,0.2155,0.2875
3781,0.615,0.455,0.13,0.9685,0.49,0.182,0.2655
2934,0.62,0.475,0.15,0.9545,0.455,0.1865,0.2769999999999999
1745,0.69,0.55,0.2,1.569,0.687,0.3675,0.46
3014,0.395,0.3,0.09,0.253,0.1155,0.05,0.075
88,0.46,0.355,0.13,0.517,0.2205,0.114,0.165
1623,0.565,0.44,0.15,0.863,0.435,0.149,0.27
2750,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805
4150,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046
3013,0.39,0.28,0.09,0.215,0.0845,0.034,0.079
3346,0.47,0.4,0.16,0.51,0.1615,0.073,0.198
2515,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135
3505,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135
2422,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475
3531,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625
3403,0.35,0.265,0.11,0.209,0.066,0.059,0.075
436,0.36,0.275,0.095,0.217,0.084,0.0435,0.09
2341,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045
3664,0.555,0.43,0.15,0.7829999999999999,0.345,0.1755,0.247
3832,0.46,0.365,0.115,0.4485,0.165,0.083,0.17
3783,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306
2688,0.63,0.465,0.15,1.027,0.537,0.188,0.176
2451,0.35,0.26,0.09,0.198,0.0725,0.0559999999999999,0.06
1953,0.64,0.49,0.155,1.1285,0.477,0.2689999999999999,0.34
2102,0.41,0.31,0.11,0.315,0.124,0.0819999999999999,0.095
3669,0.585,0.46,0.14,0.7635,0.326,0.153,0.265
3024,0.475,0.375,0.11,0.456,0.182,0.099,0.16
3138,0.51,0.4,0.14,0.6905,0.259,0.151,0.23
2817,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425
3490,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185
1207,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785
1992,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03
1791,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344
283,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225
712,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335
274,0.63,0.515,0.155,1.259,0.4105,0.1969999999999999,0.41
2611,0.63,0.48,0.165,1.286,0.604,0.271,0.35
2409,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
2776,0.585,0.465,0.165,0.885,0.4025,0.1625,0.2739999999999999
621,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195
1644,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295
2208,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665
1427,0.75,0.61,0.235,2.5085,1.232,0.519,0.612
1820,0.705,0.545,0.18,1.5395,0.6075,0.3675,0.4645
2157,0.62,0.495,0.175,1.806,0.643,0.3285,0.725
2643,0.485,0.375,0.13,0.5535,0.266,0.1119999999999999,0.157
2298,0.415,0.325,0.1,0.385,0.1669999999999999,0.08,0.125
1537,0.35,0.26,0.075,0.18,0.09,0.0245,0.055
423,0.29,0.225,0.07,0.1009999999999999,0.036,0.0235,0.035
3967,0.315,0.23,0.07,0.1639999999999999,0.0625,0.04,0.045
1221,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435
2784,0.6,0.45,0.145,0.877,0.4325,0.155,0.24
506,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305
1457,0.475,0.365,0.115,0.5660000000000001,0.281,0.1169999999999999,0.1335
1320,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236
3794,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374
1278,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495
2672,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265
839,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525
500,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245
1263,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245
3757,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945
549,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255
557,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37
1448,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135
2016,0.505,0.39,0.12,0.653,0.3315,0.1385,0.1669999999999999
218,0.47,0.36,0.135,0.501,0.1665,0.115,0.165
1084,0.445,0.345,0.105,0.409,0.1675,0.1015,0.1169999999999999
209,0.37,0.28,0.095,0.2655,0.122,0.052,0.08
3829,0.71,0.555,0.17,1.47,0.5375,0.38,0.431
1558,0.425,0.315,0.08,0.303,0.131,0.0585,0.095
3607,0.515,0.39,0.14,0.6779999999999999,0.341,0.1325,0.119
1765,0.375,0.245,0.1,0.3939999999999999,0.166,0.091,0.1125
948,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127
2304,0.59,0.49,0.135,1.008,0.422,0.2245,0.285
532,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155
3417,0.58,0.46,0.15,1.0165,0.491,0.221,0.265
1505,0.635,0.51,0.185,1.308,0.544,0.318,0.377
2245,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205
2428,0.53,0.385,0.125,0.6695,0.289,0.151,0.18
3823,0.615,0.455,0.135,1.0590000000000002,0.4735,0.263,0.2739999999999999
3956,0.515,0.395,0.14,0.6859999999999999,0.281,0.1255,0.22
3623,0.66,0.53,0.175,1.5830000000000002,0.7395,0.3505,0.405
0,0.455,0.365,0.095,0.514,0.2245,0.1009999999999999,0.15
2183,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35
4091,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705
2042,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725
1075,0.41,0.325,0.1,0.3245,0.132,0.072,0.106
247,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07
1461,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555
1614,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215
2547,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02
3809,0.52,0.375,0.135,0.5375,0.221,0.1169999999999999,0.17
3022,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455
1204,0.735,0.585,0.185,2.124,0.952,0.55,0.5
2226,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08
2179,0.595,0.47,0.25,1.283,0.462,0.2475,0.445
2132,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215
1812,0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075
1344,0.585,0.47,0.165,1.409,0.8,0.2289999999999999,0.295
3613,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045
278,0.635,0.525,0.205,1.484,0.55,0.3115,0.43
952,0.48,0.365,0.12,0.6015,0.312,0.1169999999999999,0.14
1588,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185
3654,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208
1499,0.63,0.47,0.145,1.1005,0.52,0.26,0.276
2689,0.645,0.515,0.16,1.1845,0.506,0.311,0.335
2587,0.57,0.445,0.15,0.995,0.504,0.185,0.2505
3765,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265
3995,0.245,0.175,0.055,0.0785,0.04,0.018,0.02
155,0.515,0.405,0.13,0.722,0.32,0.131,0.21
985,0.57,0.45,0.155,1.1935,0.513,0.21,0.3429999999999999
4003,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555
1180,0.655,0.515,0.16,1.31,0.5529999999999999,0.369,0.345
1610,0.545,0.42,0.125,0.7170000000000001,0.358,0.1119999999999999,0.22
1739,0.675,0.525,0.16,1.2835,0.5720000000000001,0.2755,0.3545
2168,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045
3886,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17
3714,0.725,0.56,0.185,1.7919999999999998,0.873,0.3670000000000001,0.435
3213,0.555,0.42,0.14,0.868,0.33,0.243,0.21
3493,0.555,0.44,0.15,0.838,0.4155,0.146,0.23
700,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875
3702,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47
644,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105
3891,0.56,0.46,0.18,0.97,0.342,0.196,0.355
929,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134
1237,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775
1850,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147
2578,0.515,0.395,0.12,0.6459999999999999,0.285,0.1365,0.172
246,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
